import time: self [us] | cumulative | imported package
import time:      1276 |       4806 |                     subprocess
import time:      2424 |       2424 |                       _ssl
import time:      4126 |       6549 |                     ssl
import time:       563 |        563 |                     asyncio.constants
import time:       279 |        279 |                     asyncio.coroutines
import time:       312 |        312 |                         _contextvars
import time:       319 |        631 |                       contextvars
import time:       289 |        289 |                       asyncio.format_helpers
import time:       325 |        325 |                         asyncio.base_futures
import time:       439 |        439 |                         asyncio.exceptions
import time:       306 |        306 |                         asyncio.base_tasks
import time:       747 |       1817 |                       _asyncio
import time:       945 |       3680 |                     asyncio.events
import time:       457 |        457 |                     asyncio.futures
import time:       386 |        386 |                     asyncio.protocols
import time:       487 |        487 |                       asyncio.transports
import time:       264 |        264 |                       asyncio.log
import time:      1282 |       2032 |                     asyncio.sslproto
import time:       264 |        264 |                         asyncio.mixins
import time:       931 |       1194 |                       asyncio.locks
import time:       821 |        821 |                         asyncio.timeouts
import time:       928 |       1748 |                       asyncio.tasks
import time:       644 |       3585 |                     asyncio.staggered
import time:       339 |        339 |                     asyncio.trsock
import time:      1992 |      25419 |                   asyncio.base_events
import time:       606 |        606 |                   asyncio.runners
import time:       538 |        538 |                   asyncio.queues
import time:       757 |        757 |                   asyncio.streams
import time:       503 |        503 |                   asyncio.subprocess
import time:       482 |        482 |                   asyncio.taskgroups
import time:       321 |        321 |                   asyncio.threads
import time:       535 |        535 |                     asyncio.base_subprocess
import time:       986 |        986 |                     asyncio.selector_events
import time:      1505 |       3025 |                   asyncio.unix_events
import time:       645 |      32293 |                 asyncio
import time:      1448 |       1448 |                   grpc._typing
import time:       936 |       2384 |                 grpc._observability
import time:       742 |        742 |                 pkgutil
import time:      8046 |      43463 |               grpc._cython.cygrpc
import time:       725 |      44438 |             grpc._compression
import time:       476 |        476 |             grpc._runtime_protos
import time:       354 |        354 |             grpc._grpcio_metadata
import time:       188 |        188 |             grpc_tools
import time:       114 |        114 |             grpc_health
import time:       134 |        134 |             grpc_reflection
import time:      3662 |       3662 |                   typing_extensions
import time:       596 |       4258 |                 grpc.aio._metadata
import time:       443 |        443 |                 grpc.aio._typing
import time:      1239 |       5939 |               grpc.aio._base_call
import time:      1151 |       1151 |               grpc.aio._base_channel
import time:       719 |        719 |               grpc.aio._base_server
import time:       550 |        550 |                 grpc._common
import time:      1520 |       2069 |               grpc.aio._call
import time:      1647 |       1647 |                   grpc.aio._utils
import time:      1756 |       3402 |                 grpc.aio._interceptor
import time:      1152 |       4553 |               grpc.aio._channel
import time:       722 |        722 |               grpc.aio._server
import time:       506 |      15657 |             grpc.aio
import time:      3361 |      64717 |           grpc
import time:       762 |      66700 |         google.api_core.client_info
import time:       364 |      67064 |       google.api_core.gapic_v1.client_info
import time:      1390 |       1390 |             http
import time:      1012 |       1012 |               email.feedparser
import time:       415 |       1427 |             email.parser
import time:      1958 |       4774 |           http.client
import time:       274 |        274 |           google.rpc
import time:       248 |        248 |             google.protobuf
import time:       284 |        284 |               google.protobuf.internal
import time:        83 |         83 |                 google.protobuf.internal._api_implementation
import time:       667 |        667 |                 google.protobuf.message
import time:       293 |        293 |                 google.protobuf.internal.enum_type_wrapper
import time:        89 |         89 |                 google.protobuf.enable_deterministic_proto_serialization
import time:      1828 |       2958 |               google.protobuf.internal.api_implementation
import time:      1364 |       4606 |             google.protobuf.descriptor
import time:       507 |        507 |               google.protobuf.descriptor_database
import time:       848 |        848 |               google.protobuf.text_encoding
import time:       246 |        246 |               google.protobuf.internal.python_edition_defaults
import time:       410 |        410 |                   encodings.raw_unicode_escape
import time:       373 |        373 |                   encodings.unicode_escape
import time:       827 |        827 |                     numbers
import time:       388 |        388 |                       copy
import time:       519 |        519 |                         _compat_pickle
import time:       576 |        576 |                         _pickle
import time:      1739 |       2832 |                       pickle
import time:      1983 |       5203 |                     google.protobuf.internal.containers
import time:       511 |        511 |                       google.protobuf.internal.wire_format
import time:       739 |       1250 |                     google.protobuf.internal.encoder
import time:       817 |       8095 |                   google.protobuf.internal.decoder
import time:       782 |        782 |                   google.protobuf.internal.type_checkers
import time:       443 |        443 |                   google.protobuf.unknown_fields
import time:      2434 |      12534 |                 google.protobuf.text_format
import time:       406 |        406 |                 google.protobuf.internal.extension_dict
import time:       280 |        280 |                 google.protobuf.internal.message_listener
import time:       414 |        414 |                   google.protobuf.internal.field_mask
import time:      1031 |       1445 |                 google.protobuf.internal.well_known_types
import time:      1287 |      15949 |               google.protobuf.internal.python_message
import time:       928 |      18476 |             google.protobuf.descriptor_pool
import time:       264 |        264 |                 google.protobuf.pyext
import time:       500 |        500 |                 google.protobuf.pyext.cpp_message
import time:       417 |       1180 |               google.protobuf.message_factory
