Package Name,APIs Populated,Detected Type,Has Mypy Post-Processing
google-maps-solar,True,GAPIC_AUTO,False
google-resumable-media,False,Handwritten,False
google-shopping-css,True,GAPIC_AUTO,False
google-shopping-merchant-accounts,True,GAPIC_AUTO,False
google-shopping-merchant-conversions,True,GAPIC_AUTO,False
google-shopping-merchant-datasources,True,GAPIC_AUTO,False
google-shopping-merchant-inventories,True,GAPIC_AUTO,False
google-shopping-merchant-issueresolution,True,GAPIC_AUTO,False
google-shopping-merchant-lfp,True,GAPIC_AUTO,False
google-shopping-merchant-notifications,True,GAPIC_AUTO,False
google-shopping-merchant-ordertracking,True,GAPIC_AUTO,False
google-shopping-merchant-products,True,GAPIC_AUTO,False
google-shopping-merchant-productstudio,True,GAPIC_AUTO,False
google-shopping-merchant-promotions,True,GAPIC_AUTO,False
google-shopping-merchant-quota,True,GAPIC_AUTO,False
google-shopping-merchant-reports,True,GAPIC_AUTO,False
google-shopping-merchant-reviews,True,GAPIC_AUTO,False
google-shopping-type,True,GAPIC_AUTO,False
googleapis-common-protos,True,GAPIC_AUTO,False
grafeas,True,GAPIC_AUTO,False
grpc-google-iam-v1,True,GAPIC_AUTO,False
pandas-gbq,False,Handwritten,False
proto-plus,False,Handwritten,False
sqlalchemy-bigquery,False,Handwritten,False
sqlalchemy-spanner,False,Handwritten,False
google-cloud-spanner-dbapi-driver,False,Handwritten,False
