object_number,is_highlight,is_public_domain,object_id,department,object_name,title,culture,period,dynasty,reign,portfolio,artist_role,artist_prefix,artist_display_name,artist_display_bio,artist_suffix,artist_alpha_sort,artist_nationality,artist_begin_date,artist_end_date,object_date,object_begin_date,object_end_date,medium,dimensions,credit_line,geography_type,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rights_and_reproduction,link_resource,metadata_date,repository
2007.49.168a–c,false,true,73455,Asian Art,Print,,Japan,Edo period (1615–1868),,,,Artist,,Utagawa Yoshikazu,"Japanese, active ca. 1850–1870",,Utagawa Yoshikazu,Japanese,1845,1870,"3rd month, 1861",1861,1861,Triptych of polychrome woodblock prints; ink and color on paper,Image (a): H. 14 1/4 in. (36.2 cm); W. 9 5/8 in. (24.4 cm) Image (b): H. 14 1/4 in. (36.2 cm); W. 9 5/8 in. (24.4 cm) Image (c): 14 1/4 x 9 1/2 in. (36.2 x 24.1 cm),"Bequest of William S. Lieberman, 2005",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/73455,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2007.49.170a–c,false,true,73458,Asian Art,Print,Amerika koku jōkisen naka no zu|Interior of an American Steamship,Japan,Edo period (1615–1868),,,,Artist,,Utagawa Yoshikazu,"Japanese, active ca. 1850–1870",,Utagawa Yoshikazu,Japanese,1845,1870,"4th month, 1861",1861,1861,Triptych of polychrome woodblock prints; ink and color on paper,Image (a): 14 1/4 x 9 7/8 in. (36.2 x 25.1 cm) Image (b): 14 1/4 x 9 5/8 in. (36.2 x 24.4 cm) Image (c): 14 1/2 x 9 7/8 in. (36.8 x 25.1 cm),"Bequest of William S. Lieberman, 2005",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/73458,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2007.49.173a–c,false,true,73461,Asian Art,Print,「亞墨利加國蒸氣車往来」|“America”: A Steamship in Transit,Japan,Edo period (1615–1868),,,,Artist,,Utagawa Yoshikazu,"Japanese, active ca. 1850–1870",,Utagawa Yoshikazu,Japanese,1845,1870,1861,1861,1861,Triptych of polychrome woodblock prints; ink and color on paper,Image (a): 14 1/2 x 9 3/4 in. (36.8 x 24.8 cm) Image (b): 14 3/8 x 9 3/4 in. (36.5 x 24.8 cm) Image (c): 14 1/4 x 9 3/4 in. (36.2 x 24.8 cm),"Bequest of William S. Lieberman, 2005",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/73461,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2007.49.174a–c,false,true,73462,Asian Art,Print,,Japan,Edo period (1615–1868),,,,Artist,,Utagawa Yoshikazu,"Japanese, active ca. 1850–1870",,Utagawa Yoshikazu,Japanese,1845,1870,"2nd month, 1862",1862,1862,Triptych of polychrome woodblock prints; ink and color on paper,Image (a): 14 x 9 5/8 in. (35.6 x 24.4 cm) Image (b): 17 5/8 x 9 3/4 in. (44.8 x 24.8 cm) Image (c): 13 7/8 x 9 5/8 in. (35.2 x 24.4 cm),"Bequest of William S. Lieberman, 2005",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/73462,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2007.49.176a–c,false,true,73464,Asian Art,Print,,Japan,Edo period (1615–1868),,,,Artist,,Utagawa Yoshikazu,"Japanese, active ca. 1850–1870",,Utagawa Yoshikazu,Japanese,1845,1870,"4th month, 1864",1864,1864,Triptych of polychrome woodblock prints; ink and color on paper,Image (a): 14 x 9 7/8 in. (35.6 x 25.1 cm) Image (b): 14 x 9 7/8 in. (35.6 x 25.1 cm) Image (c): 14 x 9 3/4 in. (35.6 x 24.8 cm),"Bequest of William S. Lieberman, 2005",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/73464,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP1911,false,true,54450,Asian Art,Woodblock print,蒔絵櫛|Box with a Lacquer Comb,Japan,Edo period (1615–1868),,,,Artist,,Uematsu Tōshū,"Japanese, active late 1810s–20s",,Uematsu Tōshū,Japanese,1810,1830,1812,1812,1812,Polychrome woodblock print (surimono); ink and color on paper,5 3/8 x 6 7/8 in. (13.7 x 17.5 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/54450,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP1432,false,true,54423,Asian Art,Woodblock print,,Japan,Edo period (1615–1868),,,,Artist,,Utagawa Sadakage,"Japanese, active mid-19th century",,Utagawa Sadakage,Japanese,1800,1899,ca. 1840,1830,1850,Polychrome woodblock print (surimono); ink and color on paper,8 1/16 x 7 1/8 in. (20.5 x 18.1 cm),"Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/54423,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP1103,false,true,54332,Asian Art,Woodblock print,,Japan,Edo period (1615–1868),,,,Artist,,Kurokawa Michita,"Japanese, active early 19th century",,Kurokawa Michita,Japanese,1800,1899,probably 1820,1820,1820,Polychrome woodblock print (surimono); ink and color on paper,8 1/16 x 7 1/16 in. (20.5 x 17.9 cm),"Rogers Fund, 1919",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/54332,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP1151,false,true,54357,Asian Art,Print,,Japan,Edo period (1615–1868),,,,Artist,,Kosetsu,"Japanese, active early 19th century",(?),Kosetsu,Japanese,0019,0019,ca. 1820,1810,1830,Polychrome woodblock print (surimono); ink and color on paper,8 1/4 x 7 3/16 in. (21 x 18.3 cm),"Gift of T. Ito, Chicago, Ill, 1919",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/54357,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP1152,false,true,54358,Asian Art,Print,,Japan,Edo period (1615–1868),,,,Artist,,Kosetsu,"Japanese, active early 19th century",,Kosetsu,Japanese,0019,0019,ca. 1820,1810,1830,Polychrome woodblock print (surimono); ink and color on paper,8 3/16 x 7 1/16 in. (20.8 x 17.9 cm),"Gift of T. Ito, Chicago, Ill, 1919",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/54358,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP1824,false,true,56112,Asian Art,Print,,Japan,Edo period (1615–1868),,,,Artist,,Torii Kiyotomo,"Japanese, active early 19th century",,Torii Kiyotomo,Japanese,1815,1820,ca. 1721,1711,1731,Polychrome woodblock print; ink and color on paper,H. 12 7/16 in. (31.6 cm); W. 6 1/2 in. (16.5 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/56112,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP3076,false,true,56556,Asian Art,Print,,Japan,Edo period (1615–1868),,,,Artist,Attributed to,Torii Kiyotomo,"Japanese, active early 19th century",,Torii Kiyotomo,Japanese,1815,1820,ca. 1720,1710,1730,Polychrome woodblock print (hand colored); ink and color on paper,13 1/4 x 6 1/4 in. (33.7 x 15.9 cm),"Harris Brisbane Dick Fund and Rogers Fund, 1949",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/56556,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP1243,false,true,54374,Asian Art,Print,,Japan,Edo period (1615–1868),,,,Artist,,Yanagawa Shigenobu II,"Japanese, active ca. 1820s–late 1850s",,Yanagawa Shigenobu II,Japanese,1820,1859,1830,1830,1830,Polychrome woodblock print (surimono); ink and color on paper,8 5/16 x 7 1/4 in. (21.1 x 18.4 cm),"Rogers Fund, 1921",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/54374,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2011.131,false,true,76561,Asian Art,Woodblock print,,Japan,Edo period (1615–1868),,,,Artist,,Gigadō Ashiyuki,"Japanese, active first half of 19th century",,Gigadō Ashiyuki,Japanese,1800,1849,1826,1826,1826,Polychrome woodblock print,Image (ôban tate-e): 14 5/8 x 10 1/4 in. (37.1 x 26 cm),"Purchase, Friends of Asian Art Gifts, in honor of James C. Y. Watt, 2011",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/76561,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2011.134,false,true,76564,Asian Art,Woodblock print,,Japan,Edo period (1615–1868),,,,Artist,,Gigadō Ashiyuki,"Japanese, active first half of 19th century",,Gigadō Ashiyuki,Japanese,1800,1849,1832,1832,1832,Polychrome woodblock print,Image (ôban tate-e): 14 3/4 x 10 1/4 in. (37.5 x 26 cm),"Purchase, Friends of Asian Art Gifts, in honor of James C. Y. Watt, 2011",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/76564,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP1,false,true,37391,Asian Art,Print,鞠子|Mariko,Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1805,1795,1815,Polychrome woodblock print; ink and color on paper,4 15/16 x 14 3/16 in. (12.5 x 36 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/37391,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP2,false,true,36484,Asian Art,Woodblock print,"諸國瀧廻リ　相州大山ろうべんの瀧|Rōben Waterfall at Ōyama in Sagami Province (Sōshū Ōyama Rōben no taki), from the series A Tour of Waterfalls in Various Provinces (Shokoku taki meguri)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1827,1817,1837,Polychrome woodblock print; ink and color on paper,14 3/4 x 10 1/4 in. (37.5 x 26 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36484,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP3,false,true,36485,Asian Art,Woodblock print,"百人一首　うはかゑとき　持統天皇|Poem by Jitō Tenno (Empress Jitō), from the series One Hundred Poems Explained by the Nurse (Hyakunin isshu uba ga etoki)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1839,1839,1839,Polychrome woodblock print; ink and color on paper,10 1/8 x 14 3/4 in. (25.7 x 37.5 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36485,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP4,false,true,36486,Asian Art,Woodblock print,"百人一首　乳母かゑとき　柿本人麿|Poem by Kakinomoto Hitomaro, from the series One Hundred Poems Explained by the Nurse (Hyakunin isshu uba ga etoki)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1839,1839,1839,Polychrome woodblock print; ink and color on paper,9 7/8 x 14 in. (25.1 x 35.6 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36486,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP5,false,true,36487,Asian Art,Woodblock print,"百人一首　うはかゑとき　菅家|Poem by Kanke (Sugawara Michizane), from the series One Hundred Poems Explained by the Nurse (Hyakunin isshu uba ga etoki)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1839,1829,1849,Polychrome woodblock print; ink and color on paper,10 x 14 3/5 in. (25.4 x 37.1 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36487,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP6,false,true,53920,Asian Art,Woodblock print,"百人一首　うはかゑとき　源宗于朝臣|Poem by Minamoto no Muneyuki Ason, from the series One Hundred Poems Explained by the Nurse (Hyakunin isshu uba ga etoki)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1839,1839,1839,Polychrome woodblock print; ink and color on paper,H. 9 7/8 in. (25.1 cm); W. 14 5/8 in. (37.1 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53920,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP7,false,true,36488,Asian Art,Woodblock print,"百人一首　姥か恵と起　大中臣能宣朝臣|Poem by Ōnakatomi no Yoshinobu Ason, from the series One Hundred Poems Explained by the Nurse (Hyakunin isshu uba ga etoki)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1839,1839,1839,Polychrome woodblock print; ink and color on paper,10 x 14 1/8 in. (25.4 x 35.9 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36488,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP8,false,true,36489,Asian Art,Print,"諸國名橋奇覧　すほうの国きんたいはし|Kintai Bridge in Suō Province (Suō no kuni Kintaibashi), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1827–30,1827,1830,Polychrome woodblock print; ink and color on paper,10 7/32 x 15 7/32 in. (26.0 x 38.7 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36489,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP9,false,true,36490,Asian Art,Woodblock print,"「富嶽三十六景　凱風快晴」|South Wind, Clear Sky (Gaifū kaisei), also known as Red Fuji, from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,9 5/8 x 14 in. (24.4 x 35.6 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36490,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP10,false,true,36491,Asian Art,Woodblock print,"冨嶽三十六景　神奈川沖浪裏|Under the Wave off Kanagawa (Kanagawa oki nami ura), also known as The Great Wave, from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,9 5/8 x 14 1/16 in. (24.4 x 35.7 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36491,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP11,false,true,36492,Asian Art,Woodblock print,"冨嶽三十六景　山下白雨|Storm below Mount Fuji (Sanka no haku u), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,10 1/8 x 15 1/8 in. (25.7 x 38.4 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36492,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP12,false,true,36493,Asian Art,Woodblock print,"冨嶽三十六景　駿州江尻|Ejiri in Suruga Province (Sunshū Ejiri), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,10 x 14 3/5 in. (25.4 x 37.1 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36493,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP13,false,true,36494,Asian Art,Woodblock print,"冨嶽三十六景　身延川裏不二|View from the Other Side of Fuji from the Minobu River (Minobugawa ura Fuji), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,9 7/8 x 14 3/4 in. (25.1 x 37.5 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36494,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP14,false,true,36495,Asian Art,Woodblock print,"冨嶽三十六景　甲州三坂水面|Reflection in Lake at Misaka in Kai Province (Kōshū Misaka suimen), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,9 4/5 x 14 9/16 in. (24.9 x 37.0 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36495,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP15,false,true,36496,Asian Art,Woodblock print,"冨嶽三十六景　相州七里浜|Shichirigahama in Sagami Province (Sōshū Shichirigahama), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,10 1/8 x 15 in. (25.7 x 38.1 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36496,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP16,false,true,36497,Asian Art,Woodblock print,"冨嶽三十六景　武州玉川|Tama River in Musashi Province (Bushū Tamagawa), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,10 1/8 x 14 3/4 in. (25.7 x 37.5 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36497,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP17,false,true,36498,Asian Art,Woodblock print,"冨嶽三十六景　相州箱根湖水|The Lake at Hakone in Sagami Province (Sōshū Hakone kosui), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,10 1/8 x 15 in. (25.7 x 38.1 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36498,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP18,false,true,36499,Asian Art,Woodblock print,"冨嶽三十六景　甲州三島越|Mishima Pass in Kai Province (Kōshū Mishima goe), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1832,Polychrome woodblock print; ink and color on paper,9 3/5 x 14 3/8 in. (24.4 x 36.5 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36499,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP19,false,true,36500,Asian Art,Woodblock print,"冨嶽三十六景　尾州不二見原|Fujimigahara in Owari Province (Bishū Fujimigahara), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,9 15/32 x 15 5/16 in. (24.1 x 38.9 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36500,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP20,false,true,36501,Asian Art,Woodblock print,"「冨嶽三十六景　相州梅沢左」|“Umezawa Manor in Sagami Province,” from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei, Sōshū Umezawa zai)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,10 1/8 x 15 1/8 in. (25.7 x 38.4 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36501,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP21,false,true,36502,Asian Art,Woodblock print,"冨嶽三十六景　上総の海路|At Sea off Kazusa (Kazusa no kairo), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,10 3/32 x 14 3/4 in. (25.6 x 37.5 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36502,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP22,false,true,36503,Asian Art,Woodblock print,"冨嶽三十六景　相州江の島|Enoshima in Sagami Province (Sōshū Enoshima), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,10 1/8 x 14 7/8 in. (25.7 x 37.8 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36503,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP23,false,true,36504,Asian Art,Woodblock print,"冨嶽三十六景　武陽佃島|Tsukudajima in Musashi Province (Buyō Tsukudajima), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,10 1/5 x 15 1/8 in. (25.9 x 38.4 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36504,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP24,false,true,36505,Asian Art,Woodblock print,"冨嶽三十六景　遠江山中|In the Mountains of Tōtomi Province (Tōtomi sanchū), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,9 15/32 x 14 3/5 in. (24.1 x 37.1 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36505,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP25,false,true,36506,Asian Art,Woodblock print,"冨嶽三十六景　遠江山中|In the Mountains of Tōtomi Province (Tōtomi sanchū), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1830,1832,Polychrome woodblock print; ink and color on paper,9 3/5 x 14 29/32 in. (24.4 x 37.9 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36506,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
JP26,false,true,36507,Asian Art,Woodblock print,"冨嶽三十六景　武陽佃島|Tsukudajima in Musashi Province (Buyō Tsukudajima), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,9 15/32 x 14 3/8 in. (24.1 x 36.5 cm),"Rogers Fund, 1914",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/36507,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
