object_number,is_highlight,is_public_domain,object_id,department,object_name,title,culture,period,dynasty,reign,portfolio,artist_role,artist_prefix,artist_display_name,artist_display_bio,artist_suffix,artist_alpha_sort,artist_nationality,artist_begin_date,artist_end_date,object_date,object_begin_date,object_end_date,medium,dimensions,credit_line,geography_type,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rights_and_reproduction,link_resource,metadata_date,repository
2006.451,false,true,73261,Asian Art,Painting,,"India (Rajasthan, Mewar)",,,,,Artist,Attributed to,Chokha,"Indian, active 1799–ca. 1826",,Chokha,Indian,1799,1826,ca. 1800–10,1800,1810,"Opaque watercolor, ink and gold on paper",Image: 11 1/2 x 14 7/8 in. (29.2 x 37.8 cm) Page: 12 3/16 x 15 15/16 in. (31 x 40.5 cm),"Purchase, Friends of Asian Art Gifts, 2006",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/73261,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
1996.100.5,false,true,38042,Asian Art,Painting,,"Western India, Rajasthan, Udaipur or Devgarh",,,,,Artist,Attributed to,Chokha,"Indian, active 1799–ca. 1826",,Chokha,Indian,1799,1826,ca. 1805–10,1795,1820,"Ink, opaque watercolor, and gold on paper",15 x 16 1/8 in. (38.1 x 41 cm),"Fletcher Fund, 1996",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/38042,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
1998.161,false,true,39894,Asian Art,Painting,,"India (Udaipur, Rajasthan)",,,,,Artist,Attributed to,Stipple Master,"Indian, active ca. 1690–1715",,Stipple Master,Indian,1680,1725,ca. 1707–8,1697,1718,"Opaque watercolor, ink and gold on paper",Page: 18 7/8 x 14 7/8 in. (47.9 x 37.8 cm) Image: 9 1/2 x 7 5/16 in. (24.1 x 18.6 cm),"Friends of Asian Art, Purchase, Mrs. Vincent Astor Gift, 1998",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/39894,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2002.177,false,true,64891,Asian Art,Painting,,"Western India, Rajasthan, Udaipur",,,,,Artist,Attributed to,Stipple Master,"Indian, active ca. 1690–1715",,Stipple Master,Indian,1680,1725,ca. 1700–1710,1690,1720,Opaque watercolor and ink on paper,Page: 14 11/16 x 12 1/8 in. (37.3 x 30.8 cm) Image: 13 3/16 x 10 3/4 in. (33.5 x 27.3 cm),"Cynthia Hazen Polsky and Leon B. Polsky Fund, 2002",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/64891,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
2003.238,false,true,65590,Asian Art,Painting,,"India (Rajasthan, Mewar)",,,,,Artist,,Stipple Master,"Indian, active ca. 1690–1715",,Stipple Master,Indian,1680,1725,ca. 1705,1695,1715,"Ink, opaque watercolor, silver, and gold on paper",18 x 13 in. (45.7 x 33 cm),"Cynthia Hazen Polsky and Leon B. Polsky Fund, 2003",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/65590,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
"2003.178a, b",false,true,65594,Asian Art,Painting,,"India (Rajasthan, Kota)",,,,,Artist,,The Kota Master,"Indian, active early 18th century",,Kota Master,Indian,1700,1733,ca. 1720 (recto); ca. 1750–75 (verso),1710,1785,"Ink, opaque watercolor, and gold on paper",recto: 7 1/2 x 4 3/8 in. (19.1 x 11.1 cm) verso: 9 x 5 7/8 in. (22.9 x 14.9 cm),"Cynthia Hazen Polsky and Leon B. Polsky Fund, 2003",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/65594,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
1990.230,false,true,40445,Asian Art,Hanging scroll,"이유원, 매화도  조선|李裕元 梅花圖  朝鮮|Plum Branch",Korea,Joseon dynasty (1392–1910),,,,Artist,,Yi Yuwon,"Korean, 1814–1888",,Yi Yuwon,Korean,1814,1888,dated 1888,1888,1888,Hanging scroll; ink on paper,58 1/16 x 37 3/16 in. (147.5 x 94.5 cm),"Purchase, Seymour and Rogers Funds and Bequest of Dorothy Graham Bennett, 1990",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40445,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
1977.448,false,true,45063,Asian Art,Screen panel,,Korea,Joseon dynasty (1392–1910),,,,Artist,,Nam Kye-u,"Korean, 1811–1888",,Nam Kye-u,Korean,1811,1888,,1392,1910,Panel from a six-panel folding screen; ink and color on paper,36 1/4 x 12 3/16 in. (92.1 x 31 cm),"Anonymous Gift, 1977",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/45063,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
12.123.1,false,true,40069,Asian Art,Hanging scroll,,China or Korea (?),Joseon dynasty (1392–1910),,,,Artist,In the style of,Muqi,"Chinese, ca. 1210–after 1269",,Muqi,Chinese,1210,1269,,1392,1910,Hanging scroll; ink and color on silk,51 1/4 x 27 1/2 in. (130.2 x 69.9 cm),"Rogers Fund, 1912",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40069,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
12.123.2,false,true,40070,Asian Art,Hanging scroll,,China or Korea (?),Joseon dynasty (1392–1910),,,,Artist,In the style of,Muqi,"Chinese, ca. 1210–after 1269",,Muqi,Chinese,1210,1269,,1392,1910,Hanging scroll; ink and color on silk,51 1/2 x 27 1/2 in. (130.8 x 69.9 cm),"Rogers Fund, 1912",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40070,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
57.51.38.1,false,true,37964,Asian Art,Folio,,India (Gujarat),,,,,Artist,,Bhadrabahu,"Indian, died ca. 356 B.C.",,Bhadrabahu,Indian,-0356,-0356,15th century,1400,1499,"Ink, opaque watercolor, and gold on paper",(Average size .1–.71): 4 1/2 x 11 3/8 in. (11.4 x 28.9 cm),"Bequest of Cora Timken Burnett, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/37964,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
57.51.38.2,false,true,75084,Asian Art,Folio,,India (Gujarat),,,,,Artist,,Bhadrabahu,"Indian, died ca. 356 B.C.",,Bhadrabahu,Indian,-0356,-0356,15th century,1400,1499,"Ink, opaque watercolor, and gold on paper",(Average size .1–.71): 4 1/2 x 11 3/8 in. (11.4 x 28.9 cm),"Bequest of Cora Timken Burnett, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/75084,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
57.51.38.3,false,true,75085,Asian Art,Folio,,India (Gujarat),,,,,Artist,,Bhadrabahu,"Indian, died ca. 356 B.C.",,Bhadrabahu,Indian,-0356,-0356,15th century,1400,1499,"Ink, opaque watercolor, and gold on paper",(Average size .1–.71): 4 1/2 x 11 3/8 in. (11.4 x 28.9 cm),"Bequest of Cora Timken Burnett, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/75085,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
57.51.38.4,false,true,75086,Asian Art,Folio,,India (Gujarat),,,,,Artist,,Bhadrabahu,"Indian, died ca. 356 B.C.",,Bhadrabahu,Indian,-0356,-0356,15th century,1400,1499,"Ink, opaque watercolor, and gold on paper",(Average size .1–.71): 4 1/2 x 11 3/8 in. (11.4 x 28.9 cm),"Bequest of Cora Timken Burnett, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/75086,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
57.51.38.5,false,true,75087,Asian Art,Folio,,India (Gujarat),,,,,Artist,,Bhadrabahu,"Indian, died ca. 356 B.C.",,Bhadrabahu,Indian,-0356,-0356,15th century,1400,1499,"Ink, opaque watercolor, and gold on paper",(Average size .1–.71): 4 1/2 x 11 3/8 in. (11.4 x 28.9 cm),"Bequest of Cora Timken Burnett, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/75087,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
57.51.38.6,false,true,75088,Asian Art,Folio,,India (Gujarat),,,,,Artist,,Bhadrabahu,"Indian, died ca. 356 B.C.",,Bhadrabahu,Indian,-0356,-0356,15th century,1400,1499,"Ink, opaque watercolor, and gold on paper",(Average size .1–.71): 4 1/2 x 11 3/8 in. (11.4 x 28.9 cm),"Bequest of Cora Timken Burnett, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/75088,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
57.51.38.7,false,true,75089,Asian Art,Folio,,India (Gujarat),,,,,Artist,,Bhadrabahu,"Indian, died ca. 356 B.C.",,Bhadrabahu,Indian,-0356,-0356,15th century,1400,1499,"Ink, opaque watercolor, and gold on paper",(Average size .1–.71): 4 1/2 x 11 3/8 in. (11.4 x 28.9 cm),"Bequest of Cora Timken Burnett, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/75089,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
57.51.38.8,false,true,75090,Asian Art,Folio,,India (Gujarat),,,,,Artist,,Bhadrabahu,"Indian, died ca. 356 B.C.",,Bhadrabahu,Indian,-0356,-0356,15th century,1400,1499,"Ink, opaque watercolor, and gold on paper",(Average size .1–.71): 4 1/2 x 11 3/8 in. (11.4 x 28.9 cm),"Bequest of Cora Timken Burnett, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/75090,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
57.51.38.9,false,true,75091,Asian Art,Folio,,India (Gujarat),,,,,Artist,,Bhadrabahu,"Indian, died ca. 356 B.C.",,Bhadrabahu,Indian,-0356,-0356,15th century,1400,1499,"Ink, opaque watercolor, and gold on paper",(Average size .1–.71): 4 1/2 x 11 3/8 in. (11.4 x 28.9 cm),"Bequest of Cora Timken Burnett, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/75091,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
57.51.38.10,false,true,75092,Asian Art,Folio,,India (Gujarat),,,,,Artist,,Bhadrabahu,"Indian, died ca. 356 B.C.",,Bhadrabahu,Indian,-0356,-0356,15th century,1400,1499,"Ink, opaque watercolor, and gold on paper",(Average size .1–.71): 4 1/2 x 11 3/8 in. (11.4 x 28.9 cm),"Bequest of Cora Timken Burnett, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/75092,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
57.51.38.11,false,true,75093,Asian Art,Folio,,India (Gujarat),,,,,Artist,,Bhadrabahu,"Indian, died ca. 356 B.C.",,Bhadrabahu,Indian,-0356,-0356,15th century,1400,1499,"Ink, opaque watercolor, and gold on paper",(Average size .1–.71): 4 1/2 x 11 3/8 in. (11.4 x 28.9 cm),"Bequest of Cora Timken Burnett, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/75093,2017-02-06 08:00:16.000000 UTC,"Metropolitan Museum of Art, New York, NY"
